row,col,pct_cultivo,clase
0,0,6.5,Baja
0,1,14.0,Baja
0,2,12.65,Baja
0,3,12.7,Baja
0,4,10.13,Baja
0,5,10.51,Baja
0,6,12.95,Baja
0,7,11.78,Baja
0,8,11.18,Baja
0,9,16.54,Baja
1,0,8.74,Baja
1,1,20.92,Baja
1,2,14.68,Baja
1,3,16.22,Baja
1,4,16.99,Baja
1,5,22.81,Baja
1,6,23.54,Baja
1,7,26.78,Baja
1,8,22.68,Baja
1,9,16.4,Baja
2,0,0.03,Baja
2,1,0.0,Baja
2,2,0.0,Baja
2,3,0.0,Baja
2,4,0.0,Baja
2,5,0.0,Baja
2,6,0.0,Baja
2,7,0.0,Baja
2,8,0.01,Baja
2,9,0.0,Baja
3,0,5.02,Baja
3,1,0.01,Baja
3,2,0.0,Baja
3,3,0.07,Baja
3,4,0.0,Baja
3,5,0.0,Baja
3,6,0.0,Baja
3,7,0.0,Baja
3,8,0.0,Baja
3,9,0.0,Baja
4,0,0.36,Baja
4,1,0.0,Baja
4,2,0.0,Baja
4,3,0.0,Baja
4,4,0.0,Baja
4,5,0.0,Baja
4,6,0.0,Baja
4,7,0.0,Baja
4,8,0.0,Baja
4,9,0.0,Baja
5,0,0.85,Baja
5,1,0.01,Baja
5,2,0.0,Baja
5,3,0.0,Baja
5,4,0.0,Baja
5,5,0.0,Baja
5,6,0.01,Baja
5,7,0.02,Baja
5,8,0.01,Baja
5,9,0.07,Baja
6,0,0.99,Baja
6,1,0.0,Baja
6,2,0.01,Baja
6,3,0.0,Baja
6,4,0.0,Baja
6,5,0.0,Baja
6,6,0.0,Baja
6,7,0.0,Baja
6,8,0.01,Baja
6,9,0.02,Baja
7,0,0.4,Baja
7,1,0.01,Baja
7,2,0.0,Baja
7,3,0.0,Baja
7,4,0.0,Baja
7,5,0.0,Baja
7,6,0.0,Baja
7,7,0.0,Baja
7,8,0.01,Baja
7,9,0.02,Baja
8,0,1.62,Baja
8,1,0.0,Baja
8,2,0.0,Baja
8,3,0.0,Baja
8,4,0.0,Baja
8,5,0.0,Baja
8,6,0.02,Baja
8,7,0.05,Baja
8,8,0.0,Baja
8,9,0.22,Baja
9,0,0.21,Baja
9,1,0.02,Baja
9,2,0.01,Baja
9,3,0.0,Baja
9,4,0.01,Baja
9,5,0.01,Baja
9,6,0.01,Baja
9,7,0.06,Baja
9,8,0.01,Baja
9,9,0.03,Baja
